id,value
id_0,6.50979810860063
id_1,18.185739813833873
id_2,24.46054004022186
id_3,7.675719750529999
id_4,27.13389990758747
id_5,22.085900403798668
id_6,23.653573319777838
id_7,30.769438802865555
id_8,16.889377403813043
id_9,59.53622690773847
id_10,11.735468816230922
id_11,9.344418855754874
id_12,63.26226828675141
id_13,53.2650944852064
id_14,22.043120153135277
id_15,12.24586710681665
id_16,32.36908570795178
id_17,66.65302870401447
id_18,-0.5008017520383122
id_19,17.12506896393839
id_20,41.90579855327309
id_21,72.35041747139928
id_22,9.224896586533392
id_23,17.97889773846128
id_24,14.695874148039842
id_25,38.30336742930909
id_26,14.928799909153387
id_27,62.092183730477174
id_28,7.219415884074533
id_29,55.561129797585224
id_30,24.441169721823645
id_31,8.692695232474978
id_32,2.56850080305176
id_33,18.64668278338817
id_34,27.59189414300291
id_35,37.27481424037938
id_36,43.33900852361121
id_37,29.63444783154535
id_38,41.85149665184321
id_39,35.42465247239008
id_40,7.776066552233997
id_41,41.1526845004253
id_42,30.425016684029902
id_43,51.09276685682713
id_44,17.456575674288803
id_45,35.471740219435915
id_46,24.644712929920907
id_47,9.699171626028201
id_48,26.598197228981483
id_49,32.30614511857971
id_50,20.289611231448497
id_51,7.855710893911641
id_52,20.424780816967253
id_53,52.57284465824416
id_54,15.896275546248734
id_55,36.19940095590135
id_56,33.111942208373286
id_57,20.7013761860186
id_58,57.33710228529857
id_59,22.762187088574727
id_60,14.306297702276536
id_61,41.82323727496119
id_62,12.776762950313321
id_63,48.54739544701175
id_64,14.201272533898775
id_65,14.985189019833234
id_66,14.512677023818652
id_67,-0.9908505144417937
id_68,43.829087323670585
id_69,29.050381131586377
id_70,20.36381401076106
id_71,41.68032295981179
id_72,60.34864312409681
id_73,5.582693771137548
id_74,16.460952301638347
id_75,3.3688529020429914
id_76,40.304146819773806
id_77,14.256272539185145
id_78,21.683639518793225
id_79,21.004448000646153
id_80,23.873484188604543
id_81,36.10170873055919
id_82,21.800742296187988
id_83,92.51415471546227
id_84,37.31298259422193
id_85,27.97183232685342
id_86,22.01137341573729
id_87,33.51912720827804
id_88,23.32220554508573
id_89,19.76423698337477
id_90,28.622205904324563
id_91,41.42999472544031
id_92,4.875785812721858
id_93,38.44218824001023
id_94,45.76804694031684
id_95,16.516790232022213
id_96,31.47492890758227
id_97,13.007828895415049
id_98,23.221006021676054
id_99,4.586953358629174
id_100,18.211999071196935
id_101,26.426910674916368
id_102,14.097247523723185
id_103,15.91139231097925
id_104,23.946533476720976
id_105,39.79387376773055
id_106,31.436335450897065
id_107,6.10910585185935
id_108,6.094668919984636
id_109,78.57279062917655
id_110,48.13531937464902
id_111,17.185606664181186
id_112,27.612506225296322
id_113,15.130503948087181
id_114,13.751781108567588
id_115,24.908827237564594
id_116,26.64777782293867
id_117,10.487205726217024
id_118,18.47037734607253
id_119,19.628013957847216
id_120,80.49680179154998
id_121,25.442068309412356
id_122,37.266504371835445
id_123,25.5787172405236
